El glaucoma es un grupo de enfermedades que pueden dañar al nervio óptico del ojo. Esto resulta en alguna pérdida de la visión o en ceguera.Se pueden desarrollar como resultado de complicaciones de otros problemas médicos.El glaucoma neovascular es un tipo de glaucoma muy severo que está relacionado con la diabetes. ,,Diabetes,Complicaciones diabetes,Glaucoma
"Los pacientes con diabetes tienen mayor riesgo de sufrir enfermedades del corazón, del cerebro, de las arterias y de los riñones.El riesgo de sufrir un ictus en los diabéticos es de 2 a 4 veces mayor que en la población con azúcar normal. En pacientes con diabetes tipo 1, la frecuencia del ictus y de muerte por ictus es menor que en pacientes con diabetes tipo 2 y sucede sobretodo en personas más jóvenes. El incremento de riesgo en pacientes con diabetes tipo 2 puede ser debido a que frecuentemente sufren a la vez otros factores de riesgo",,Diabetes,Cardiovascular,
"Consiste en la cirugía de bypass gástrico Reduce el tamaño del estómago (del tamaño de un puño al tamaño de un pulgar) y reduce el camino que la comida recorre a través del intestino delgado. Esto limita la cantidad de calorías absorbidas. Este cambio es permanente. o la cirugía,  la segunda opción es Cirugía laparoscópica gástrica también conocida como “de banda o cinturón gástrico”: Un cinturón que envuelve al estómago. Es un cinturón que aprieta al estómago para que sienta lleno con menos comida. Este cambio se puede ajustar o revertir si es necesario. Aunque algunos estudios clínicos pequeños hayan demostrado los beneficios del control de la glucosa en pacientes con diabetes tipo 2 y un índice de masa corporal alto, no hay evidencia suficiente que demuestre beneficios en personas con un índice de masa corporal más bajo que 35",¿En qué consiste la cirugía para la diabetes?,Diabetes,Cirugia y Diabetes,
"A veces se considera a la cirugía bariátrica como una opción viable para las personas adultas con diabetes tipo 2 y que tienen un índice de masa corporal por encima de 35. Puede ser una solución, especialmente si la diabetes es difícil de controlar con cambios de estilo de vida y medicamentos.Aunque algunos estudios clínicos pequeños hayan demostrado los beneficios del control de la glucosa en pacientes con diabetes tipo 2 y un índice de masa corporal alto, no hay evidencia suficiente que demuestre beneficios en personas con un índice de masa corporal más bajo que 35.Dado a que la cirugía bariátrica no es una cura, aconsejamos que los individuos que se han sometido a esta cirugía, continúen sus chequeos recomendados para las personas con diabetes",¿La Cirugía Bariatrica me mejorara la diabetes?,Diabetes,Cirugia y Diabetes,
"Es una Enfermedad crónica que se produce cuando el organismo pierde su capacidad de producir suficiente insulina o de utilizarla correctamente. La insulina es una hormona que permite que la glucosa de los alimentos (los azucares) entre a las células del cuerpo, en donde se convierte en energía para el cuerpo. Al no absorber el cuerpo la glucosa queda circulando en la sangre , generando exceso de azucar en la sangre (hiperglucemia) y dañando el organismo con el paso del tiempo.",,Diabetes,Informacion General y Diabetes,
"Es una Enfermedad crónica que se produce cuando el organismo pierde su capacidad de producir suficiente insulina o de utilizarla correctamente. La insulina es una hormona que permite que la glucosa de los alimentos (los azucares) entre a las células del cuerpo, en donde se convierte en energía para el cuerpo. Al no absorbe el cuerpo la glucosa queda circulando en la sangre , generando exceso de azucar en la sangre (hiperglucemia) y dañando el organismo con el paso del tiempo.",,Diabetes,Informacion General y Diabetes,
"Hay tres tipos principales de diabetes,Diabetes tipo 1 conocida antes como diabetes juvenil. Diabetes tipo 2 conocida antes como diabetes no-insulino dependiente o diabetes del adulto, representa aproximadamente el 90% de los casos de diabetes.La diabetes gestacional (DMG) consiste en altos niveles de glucosa en sangre durante el embarazo. Se desarrolla en uno de cada 25 mujeres embarazadas y está asociada con complicaciones para la madre y el bebé",,Diabetes,Informacion General y Diabetes,Clasificación de la Diabetes
"Los altos niveles de glucosa en sangre (hiperglicemia) pueden conducir a enfermedades graves que afectan al corazón (Infartos) y los vasos sanguíneos, los ojos (Retinopatía diabética), los riñones (Insuficiencia renal), los nervios y pies (pie diabético), así como enfermedad periodontal. Además, las personas con diabetes también tienen un mayor riesgo de desarrollar infecciones.",¿Cuales son las complicaciones de la Diabetes?,Diabetes,Complicaciones diabetes,
"Es la principal causa de ceguera en el mundo, la mayoría de las personas con diabetes desarrollarán algún tipo de enfermedad ocular (retinopatía) con disminución de la visión o ceguera. Los altos niveles de glucosa en sangre  junto con la presión arterial alta y el colesterol alto, son las principales causas de retinopatía. Puede tratarse mediante controles regulares de los ojos (fondo de ojo) y manteniendo los niveles de glucosa y lípidos en lo normal o cerca de lo normal. De no ser así podrá requerirse una cirugía.",¿ Que es?,Diabetes,Complicaciones diabetes,Retinopatia Diabetica
"Es la principal causa de ceguera en el mundo, la mayoría de las personas con diabetes desarrollarán algún tipo de enfermedad ocular (retinopatía) con disminución de la visión o ceguera. Los altos niveles de glucosa en sangre  junto con la presión arterial alta y el colesterol alto, son las principales causas de retinopatía. Puede tratarse mediante controles regulares de los ojos (fondo de ojo) y manteniendo los niveles de glucosa y lípidos en lo normal o cerca de lo normal. De no ser así podrá requerirse una cirugía.",¿ Que es?,Diabetes,Complicaciones diabetes,Retinopatia Diabetica
